test_id,csv_file,n_rows,name
TX2 CU200,csv/01_TX2_CU200.csv,6794,TX2 CU200
TX3 CU400,csv/02_TX3_CU400.csv,6698,TX3 CU400
TX4 CU100,csv/03_TX4_CU100.csv,7610,TX4 CU100
TX5 CU50,csv/04_TX5_CU50.csv,6069,TX5 CU50
TX6 CU100,csv/05_TX6_CU100.csv,5805,TX6 CU100
TX7 CU100,csv/06_TX7_CU100.csv,7166,TX7 CU100
TX8 CU200,csv/07_TX8_CU200.csv,5415,TX8 CU200
TX9 CU400,csv/08_TX9_CU400.csv,7584,TX9 CU400
TX10 CU600,csv/09_TX10_CU600.csv,7817,TX10 CU600
TX11 CU800,csv/10_TX11_CU800.csv,7201,TX11 CU800
TX13 CD400,csv/11_TX13_CD400.csv,6950,TX13 CD400
TX14 CD600,csv/12_TX14_CD600.csv,10951,TX14 CD600
TX15 CD50,csv/13_TX15_CD50.csv,8244,TX15 CD50
TX16 CD50,csv/14_TX16_CD50.csv,7802,TX16 CD50
TX17 CD100,csv/15_TX17_CD100.csv,6901,TX17 CD100
TX18 CD150,csv/16_TX18_CD150.csv,7966,TX18 CD150
